brand,brand_topic_num,brand_topic_name,brand_positive,brand_neutral,brand_negative
Bukalapak,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Bukalapak,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Bukalapak,29,"bawang, masukkan, gr",0.0,0.0,0.0
Bukalapak,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Bukalapak,31,"jet, lion, air",0.0,0.0,0.0
Bukalapak,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Bukalapak,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Bukalapak,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Bukalapak,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Bukalapak,36,"__________________, ___luckyone, arabil__",0.0,0.8279978632926941,0.0
Bukalapak,37,"telenovelena, mom, blm",0.0,0.0,0.0
Bukalapak,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Bukalapak,39,"mah, teu, kang",0.0,0.0,0.0
Bukalapak,40,"siauw, felix, skakmat",0.0,0.0,0.0
Bukalapak,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Bukalapak,42,"2017, polytron, global",0.0,0.0,0.0
Bukalapak,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Bukalapak,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Bukalapak,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Bukalapak,46,"cha, eun, ambassador",0.7059004306793213,0.9971494078636169,0.0
Bukalapak,47,"axioo, diakui, asli",0.0,0.0,0.0
Bukalapak,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Bukalapak,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Bukalapak,50,"qr, livin, kopi",0.0,0.0,0.0
Bukalapak,51,"australia, bekti, pindah",0.0,0.0,0.0
Bukalapak,52,"ampat, tambang, raja",0.0,0.0,0.0
Bukalapak,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Bukalapak,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Bukalapak,55,"posted, photo, just",0.0,0.0,0.0
Bukalapak,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Bukalapak,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Bukalapak,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Blibli,-1,"yg, indonesia, brand",0.9138579263406641,0.9220287203788757,0.9658768177032471
Blibli,0,"the, and, to",0.9854209870100021,0.8905367106199265,0.6341651678085327
Blibli,1,"diskon, brand, promo",0.918410561978817,0.9705877520143986,0.0
Blibli,2,"yg, ga, aja",0.9028511285781861,0.9953640699386597,0.5884001851081848
Blibli,3,"chef, zahra, gozali",0.0,0.0,0.0
Blibli,4,"dennysantoso, indonesia, tarikuang",0.9990580677986145,0.9259781420230866,0.0
Blibli,5,"habib, ustadz, ust",0.0,0.0,0.0
Blibli,6,"de, la, su",0.0,0.0,0.0
Blibli,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Blibli,8,"award, penghargaan, best",0.0,0.9978095889091492,0.0
Blibli,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Blibli,10,"isyana, sarasvati, seno",0.0,0.991718053817749,0.0
Blibli,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Blibli,12,"bernapas, rip, dewa",0.0,0.0,0.0
Blibli,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Blibli,14,"ni, nak, tu",0.0,0.0,0.9865202903747559
Blibli,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Blibli,16,"kh, nafis, cholil",0.0,0.0,0.0
Blibli,17,"tingting, ayu, iki",0.0,0.0,0.0
Blibli,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Blibli,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Blibli,20,"chika, kinsky, yumi",0.0,0.0,0.0
Blibli,21,"kau, nagara, wira",0.0,0.0,0.0
Blibli,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Blibli,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Blibli,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Blibli,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Blibli,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Blibli,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Blibli,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Blibli,29,"bawang, masukkan, gr",0.0,0.0,0.0
Blibli,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Blibli,31,"jet, lion, air",0.0,0.0,0.0
Blibli,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Blibli,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Blibli,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Blibli,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Blibli,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Blibli,37,"telenovelena, mom, blm",0.0,0.0,0.0
