brand,brand_top1_positive,brand_top1_neutral,brand_top1_negative,brand_top1_name,brand_top2_positive,brand_top2_neutral,brand_top2_negative,brand_top2_name,brand_top3_positive,brand_top3_neutral,brand_top3_negative,brand_top3_name
Nescafe,0.0,0.9808124325105122,0.0,"nescafe, produsen, lowongan",0.8364032506942749,0.9532514106143605,0.0,"diskon, brand, promo",0.9167671962217852,0.858193059762319,0.0,"the, and, to"
Cimory,0.9842653870582581,0.9694195687770844,0.0,"the, and, to",0.8272066911061605,0.9609227776527405,0.0,"yg, ga, aja",0.9986671209335327,0.9898191094398499,0.0,"diskon, brand, promo"
Greenfields,0.8743780106306076,0.0,0.8455277482668558,"yg, ga, aja",0.7599590718746185,0.0,0.0,"the, and, to",0.0,0.9979839324951172,0.0,"diskon, brand, promo"
So Nice,0.9771979920791857,0.9928383231163025,0.8421066999435425,"the, and, to",0.8723736703395844,0.8334356745084127,0.526845395565033,"diskon, brand, promo",0.9941588242848715,0.0,0.0,"yg, ga, aja"
Tango,0.997449666261673,0.637008011341095,0.9761680960655212,"yg, ga, aja",0.9987680315971375,0.9046333432197571,0.0,"the, and, to",0.0,0.8289380669593811,0.0,"diskon, brand, promo"
SilverQueen,0.9940046469370524,0.9715317189693451,0.0,"yg, ga, aja",0.8016194303830465,0.9413338303565979,0.0,"dennysantoso, indonesia, tarikuang",0.9975820779800415,0.9646638631820679,0.0,"diskon, brand, promo"
Chitato,0.9450253744920095,0.8537200868129731,0.8441098928451538,"the, and, to",0.9029147773981094,0.9449707120656967,0.0,"diskon, brand, promo",0.9054745435714722,0.990892767906189,0.9918732047080994,"yg, ga, aja"
Qtela,0.842103898525238,0.989464521408081,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Wings Group,0.9756298065185547,0.9736069440841675,0.0,"the, and, to",0.7858063578605652,0.0,0.0,"diskon, brand, promo",0.9950227737426758,0.9963353872299194,0.0,"dennysantoso, indonesia, tarikuang"
So Klin,0.9839513301849365,0.9849434196949005,0.9631703495979309,"the, and, to",0.0,0.9979350566864014,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Sunlight,0.9110614998000008,0.8739944323897362,0.0,"the, and, to",0.8555343449115753,0.9953011870384216,0.0,"diskon, brand, promo",0.9987448155879974,0.0,0.0,"yg, ga, aja"
Daia,0.0,0.9585290551185608,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Rinso,0.8841554999351502,0.9524399638175964,0.0,"diskon, brand, promo",0.9758268296718597,0.9530365169048309,0.5564384460449219,"the, and, to",0.9681417942047119,0.0,0.0,"yg, ga, aja"
Mama Lemon,0.9089124202728271,0.0,0.0,"yg, ga, aja",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo"
Baygon,0.0,0.9688225090503693,0.7594378590583801,"the, and, to",0.5461417436599731,0.9839977025985718,0.0,"diskon, brand, promo",0.0,0.913735568523407,0.0,"dennysantoso, indonesia, tarikuang"
Hit,0.9081202625501447,0.8716213835610284,0.7871437072753906,"the, and, to",0.9696708917617798,0.9339961111545563,0.0,"diskon, brand, promo",0.9948111474514008,0.0,0.9993281364440918,"yg, ga, aja"
Top Coffee,0.9469641596078873,0.90509894490242,0.4088326096534729,"the, and, to",0.8752638101577759,0.8465907275676727,0.0,"diskon, brand, promo",0.0,0.9929457306861877,0.0,"award, penghargaan, best"
Mitu Baby,0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Wardah,0.93263401893469,0.8734206144626324,0.8129662908613682,"yg, ga, aja",0.8990331159697639,0.9503372281789779,0.0,"diskon, brand, promo",0.9687950081295438,0.9467155507632664,0.9617273211479187,"the, and, to"
Make Over,0.9275878667831421,0.7673484236001968,0.668777771294117,"the, and, to",0.9434694449106852,0.947836392066058,0.0,"diskon, brand, promo",0.9495121505525377,0.8691705614328384,0.8521679426942553,"yg, ga, aja"
Emina,0.9106515720486641,0.9404036849737167,0.0,"diskon, brand, promo",0.9486081302165985,0.9182006120681763,0.9552904566129049,"yg, ga, aja",0.9964710474014282,0.9921199828386307,0.9617273211479187,"the, and, to"
Sariayu Martha Tilaar,0.9727805654207865,0.9138440260520349,0.0,"diskon, brand, promo",0.0,0.9582604765892029,0.0,"award, penghargaan, best",0.9992004036903381,0.0,0.0,"yg, ga, aja"
Purbasari,0.7379725293109292,0.9429834059306553,0.0,"diskon, brand, promo",0.981157124042511,0.7391351461410522,0.5469892621040344,"yg, ga, aja",0.9966208934783936,0.9981235861778259,0.0,"dennysantoso, indonesia, tarikuang"
Viva Cosmetics,0.9927215774854025,0.9799969494342804,0.0,"the, and, to",0.9148938059806824,0.8638972043991089,0.0,"diskon, brand, promo",0.9984107911586761,0.949504554271698,0.0,"yg, ga, aja"
Kahf,0.9752103239297867,0.9876268108685812,0.0,"diskon, brand, promo",0.993260383605957,0.9956024587154388,0.0,"ni, nak, tu",0.0,0.8545409291982651,0.0,"yg, ga, aja"
MS Glow,0.7834980216893283,0.93706756404468,0.0,"diskon, brand, promo",0.9734704715234263,0.8374571204185486,0.0,"yg, ga, aja",0.981131911277771,0.9268961463655744,0.0,"cha, eun, ambassador"
Scarlett Whitening,0.908155810265314,0.8929059108098348,0.0,"the, and, to",0.9979377686977386,0.9872776865959167,0.0,"yg, ga, aja",0.0,0.9886347651481628,0.0,"scarlett, whitening, angelista"
Somethinc,0.9486337015123079,0.9395650252699852,0.8693842540184656,"yg, ga, aja",0.9159520268440247,0.9304656179054923,0.0,"diskon, brand, promo",0.9365746855735779,0.9185064501232572,0.0,"the, and, to"
Dana,0.9633651375770569,0.9790971130132675,0.9253785908222198,"yg, ga, aja",0.9913723468780518,0.9127281109491984,0.6314706802368164,"diskon, brand, promo",0.0,0.9514367977778116,0.9583194255828857,"the, and, to"
OVO,0.0,0.9485091837969694,0.0,"diskon, brand, promo",0.9866993427276611,0.9987188577651978,0.0,"yg, ga, aja",0.8995922803878784,0.5040315389633179,0.0,"the, and, to"
Gopay,0.0,0.8982148071130117,0.0,"diskon, brand, promo",0.9572056233882904,0.0,0.0,"yg, ga, aja",0.0,0.8587920665740967,0.0,"the, and, to"
LinkAja,0.8725998997688293,0.8443642258644104,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
BCA Digital,0.7324456870555878,0.9867646396160126,0.0,"award, penghargaan, best",0.0,0.9938787817955017,0.0,"diskon, brand, promo",0.926061749458313,0.0,0.0,"dennysantoso, indonesia, tarikuang"
Jenius,0.9975643157958984,0.9024507403373718,0.0,"dennysantoso, indonesia, tarikuang",0.9987874031066895,0.0,0.0,"yg, ga, aja",0.9685653448104858,0.0,0.0,"diskon, brand, promo"
SeaBank,0.0,0.9678682684898376,0.0,"diskon, brand, promo",0.0,0.9981033802032471,0.0,"the, and, to",0.0,0.0,0.9981169700622559,"dennysantoso, indonesia, tarikuang"
Bank Jago,0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Livin' by Mandiri,0.0,0.8090571711460749,0.0,"qr, livin, kopi",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo"
Flip,0.0,0.9988111257553101,0.0,"tp201, vivobook, meluncur",0.940671530034807,0.8666707919194148,0.9161789814631144,"the, and, to",0.8635234832763672,0.8962989926338196,0.0,"diskon, brand, promo"
Gojek,0.9180826718608538,0.9609869867563248,0.0,"the, and, to",0.9209326356649399,0.8865104743412563,0.8859633803367615,"yg, ga, aja",0.8981539964675903,0.9885307124682835,0.0,"diskon, brand, promo"
Grab,0.9075540646910667,0.9147436929785687,0.0,"the, and, to",0.8562934431764815,0.9139886860336576,0.7105167955160141,"diskon, brand, promo",0.9752932190895081,0.9841865777969361,0.5843584537506104,"dennysantoso, indonesia, tarikuang"
Traveloka,0.9169578183264959,0.9466076266597694,0.723116934299469,"diskon, brand, promo",0.8982933333941868,0.7568504015604655,0.0,"the, and, to",0.8855114281177521,0.9476839154958725,0.0,"dennysantoso, indonesia, tarikuang"
