influencer,influencer_topic_num,influencer_topic_name,influencer_positive,influencer_neutral,influencer_negative
Prilly Latuconsina,1,"diskon, brand, promo",0.0,0.9789934456348419,0.0
Prilly Latuconsina,2,"yg, ga, aja",0.0,0.0,0.0
Prilly Latuconsina,3,"chef, zahra, gozali",0.0,0.9953308701515198,0.0
Prilly Latuconsina,4,"dennysantoso, indonesia, tarikuang",0.0,0.0,0.0
Prilly Latuconsina,5,"habib, ustadz, ust",0.0,0.0,0.0
Prilly Latuconsina,6,"de, la, su",0.0,0.0,0.0
Prilly Latuconsina,7,"gisella, anastasia, mulya",0.9283980173724038,0.9758508483568827,0.9767505526542664
Prilly Latuconsina,8,"award, penghargaan, best",0.0,0.0,0.0
Prilly Latuconsina,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Prilly Latuconsina,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Prilly Latuconsina,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Prilly Latuconsina,12,"bernapas, rip, dewa",0.0,0.0,0.0
Prilly Latuconsina,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Prilly Latuconsina,14,"ni, nak, tu",0.0,0.0,0.0
Prilly Latuconsina,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Prilly Latuconsina,16,"kh, nafis, cholil",0.0,0.0,0.0
Prilly Latuconsina,17,"tingting, ayu, iki",0.0,0.0,0.0
Prilly Latuconsina,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Prilly Latuconsina,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Prilly Latuconsina,20,"chika, kinsky, yumi",0.0,0.0,0.0
Prilly Latuconsina,21,"kau, nagara, wira",0.0,0.0,0.0
Prilly Latuconsina,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Prilly Latuconsina,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Prilly Latuconsina,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Prilly Latuconsina,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Prilly Latuconsina,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Prilly Latuconsina,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Prilly Latuconsina,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Prilly Latuconsina,29,"bawang, masukkan, gr",0.0,0.0,0.0
Prilly Latuconsina,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Prilly Latuconsina,31,"jet, lion, air",0.0,0.0,0.0
Prilly Latuconsina,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Prilly Latuconsina,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Prilly Latuconsina,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Prilly Latuconsina,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Prilly Latuconsina,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Prilly Latuconsina,37,"telenovelena, mom, blm",0.0,0.0,0.0
Prilly Latuconsina,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Prilly Latuconsina,39,"mah, teu, kang",0.0,0.0,0.0
Prilly Latuconsina,40,"siauw, felix, skakmat",0.0,0.0,0.0
Prilly Latuconsina,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Prilly Latuconsina,42,"2017, polytron, global",0.0,0.0,0.0
Prilly Latuconsina,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Prilly Latuconsina,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Prilly Latuconsina,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Prilly Latuconsina,46,"cha, eun, ambassador",0.0,0.0,0.0
Prilly Latuconsina,47,"axioo, diakui, asli",0.0,0.0,0.0
Prilly Latuconsina,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Prilly Latuconsina,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Prilly Latuconsina,50,"qr, livin, kopi",0.0,0.0,0.0
Prilly Latuconsina,51,"australia, bekti, pindah",0.0,0.0,0.0
Prilly Latuconsina,52,"ampat, tambang, raja",0.0,0.0,0.0
Prilly Latuconsina,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Prilly Latuconsina,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Prilly Latuconsina,55,"posted, photo, just",0.0,0.0,0.0
Prilly Latuconsina,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Prilly Latuconsina,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Prilly Latuconsina,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Raditya Dika,-1,"yg, indonesia, brand",0.9375800549983978,0.8036311675201763,0.8865937806408981
Raditya Dika,0,"the, and, to",0.9552891424724034,0.9204676598310471,0.9952782690525055
Raditya Dika,1,"diskon, brand, promo",0.0,0.5546540684170194,0.0
Raditya Dika,2,"yg, ga, aja",0.9073163341908228,0.8725182225829676,0.9615989699959755
Raditya Dika,3,"chef, zahra, gozali",0.0,0.9988430738449097,0.0
Raditya Dika,4,"dennysantoso, indonesia, tarikuang",0.0,0.0,0.9965335130691528
Raditya Dika,5,"habib, ustadz, ust",0.0,0.0,0.0
Raditya Dika,6,"de, la, su",0.0,0.0,0.0
Raditya Dika,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Raditya Dika,8,"award, penghargaan, best",0.0,0.0,0.0
Raditya Dika,9,"sibungbung, miawaug, jess",0.0,0.9014497995376587,0.0
Raditya Dika,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Raditya Dika,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Raditya Dika,12,"bernapas, rip, dewa",0.0,0.0,0.0
Raditya Dika,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Raditya Dika,14,"ni, nak, tu",0.0,0.0,0.0
Raditya Dika,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Raditya Dika,16,"kh, nafis, cholil",0.0,0.0,0.0
Raditya Dika,17,"tingting, ayu, iki",0.6821205019950867,0.0,0.0
Raditya Dika,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Raditya Dika,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Raditya Dika,20,"chika, kinsky, yumi",0.0,0.0,0.0
Raditya Dika,21,"kau, nagara, wira",0.9981632828712463,0.0,0.0
Raditya Dika,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Raditya Dika,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Raditya Dika,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Raditya Dika,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Raditya Dika,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Raditya Dika,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Raditya Dika,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Raditya Dika,29,"bawang, masukkan, gr",0.0,0.0,0.0
Raditya Dika,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Raditya Dika,31,"jet, lion, air",0.0,0.0,0.0
Raditya Dika,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Raditya Dika,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Raditya Dika,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Raditya Dika,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Raditya Dika,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Raditya Dika,37,"telenovelena, mom, blm",0.0,0.0,0.0
Raditya Dika,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Raditya Dika,39,"mah, teu, kang",0.0,0.0,0.0
Raditya Dika,40,"siauw, felix, skakmat",0.0,0.0,0.0
Raditya Dika,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Raditya Dika,42,"2017, polytron, global",0.0,0.0,0.0
Raditya Dika,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Raditya Dika,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Raditya Dika,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Raditya Dika,46,"cha, eun, ambassador",0.0,0.9981200098991394,0.0
Raditya Dika,47,"axioo, diakui, asli",0.0,0.0,0.0
Raditya Dika,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Raditya Dika,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Raditya Dika,50,"qr, livin, kopi",0.0,0.0,0.0
Raditya Dika,51,"australia, bekti, pindah",0.0,0.0,0.0
Raditya Dika,52,"ampat, tambang, raja",0.0,0.0,0.0
Raditya Dika,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Raditya Dika,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Raditya Dika,55,"posted, photo, just",0.0,0.0,0.0
Raditya Dika,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Raditya Dika,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Raditya Dika,58,"goooo, umurnya, kmu",0.0,0.0,0.48690924048423767
Iqbaal Ramadhan,-1,"yg, indonesia, brand",0.9312334784439632,0.4002901679939694,0.9586089054743449
Iqbaal Ramadhan,0,"the, and, to",0.8778049510258895,0.8150408303737641,0.8211450179417928
Iqbaal Ramadhan,1,"diskon, brand, promo",0.9838545918464661,0.5430676937103271,0.0
Iqbaal Ramadhan,2,"yg, ga, aja",0.989738404750824,0.0,0.0
Iqbaal Ramadhan,3,"chef, zahra, gozali",0.0,0.0,0.0
Iqbaal Ramadhan,4,"dennysantoso, indonesia, tarikuang",0.9891630411148071,0.0,0.0
Iqbaal Ramadhan,5,"habib, ustadz, ust",0.0,0.0,0.0
Iqbaal Ramadhan,6,"de, la, su",0.0,0.0,0.0
Iqbaal Ramadhan,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Iqbaal Ramadhan,8,"award, penghargaan, best",0.0,0.0,0.0
Iqbaal Ramadhan,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Iqbaal Ramadhan,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Iqbaal Ramadhan,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.998301088809967,0.0,0.0
Iqbaal Ramadhan,12,"bernapas, rip, dewa",0.0,0.0,0.0
Iqbaal Ramadhan,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Iqbaal Ramadhan,14,"ni, nak, tu",0.0,0.8512269854545593,0.9683472514152527
Iqbaal Ramadhan,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Iqbaal Ramadhan,16,"kh, nafis, cholil",0.0,0.998612642288208,0.0
Iqbaal Ramadhan,17,"tingting, ayu, iki",0.0,0.0,0.9804075360298157
Iqbaal Ramadhan,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Iqbaal Ramadhan,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Iqbaal Ramadhan,20,"chika, kinsky, yumi",0.0,0.0,0.0
Iqbaal Ramadhan,21,"kau, nagara, wira",0.0,0.0,0.0
Iqbaal Ramadhan,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Iqbaal Ramadhan,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Iqbaal Ramadhan,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Iqbaal Ramadhan,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Iqbaal Ramadhan,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Iqbaal Ramadhan,27,"iqbaal, ramadhan, dhiafakhri",0.6977850794792175,0.8376252529572468,0.9595379084348679
Iqbaal Ramadhan,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Iqbaal Ramadhan,29,"bawang, masukkan, gr",0.0,0.0,0.0
Iqbaal Ramadhan,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Iqbaal Ramadhan,31,"jet, lion, air",0.0,0.0,0.0
Iqbaal Ramadhan,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Iqbaal Ramadhan,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Iqbaal Ramadhan,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Iqbaal Ramadhan,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Iqbaal Ramadhan,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Iqbaal Ramadhan,37,"telenovelena, mom, blm",0.0,0.0,0.0
Iqbaal Ramadhan,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Iqbaal Ramadhan,39,"mah, teu, kang",0.0,0.0,0.0
Iqbaal Ramadhan,40,"siauw, felix, skakmat",0.0,0.0,0.0
Iqbaal Ramadhan,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Iqbaal Ramadhan,42,"2017, polytron, global",0.0,0.0,0.0
Iqbaal Ramadhan,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Iqbaal Ramadhan,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Iqbaal Ramadhan,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
