influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Felicya Angelista,-0.4354625,-0.2313266,0.36742955,0.173189,-0.108762406,-0.034009613,0.099455394,-0.290129,0.37512392,0.508154,0.4351505,0.4626387,0.08952455,-0.2591728,0.86168885,0.016898904
Indra Bekti,-0.44364092,-0.23598437,0.38620242,0.16989161,-0.12721685,-0.06048968,0.09397249,-0.2964111,0.361836,0.45752376,0.45281854,0.46857354,0.1386103,-0.2510543,0.8488859,-0.0100181475
Rizky Febian,-0.38579732,-0.2039032,0.3503825,0.15349619,-0.13732421,-0.08435069,0.067561276,-0.26551464,0.2905196,0.31962973,0.41097414,0.41297933,0.19903313,-0.19500555,0.7104792,-0.034201656
Tasya Kamila,-0.40762162,-0.22151858,0.36196238,0.1616803,-0.13041109,-0.058717426,0.07900484,-0.27930415,0.3308809,0.41609955,0.43151683,0.44550976,0.15934621,-0.22610788,0.7826626,-0.006002727
Alexa Belvana,-0.66524976,-0.17358908,-0.0912334,-0.034749668,0.08299848,-0.28600988,-0.16570598,-0.027389223,0.17196983,0.004474663,0.18913274,0.34994617,-0.6003072,-0.4950205,0.7528254,-0.46183506
Ayla Dimitri,-0.41576573,-0.46116003,0.42457464,0.03651987,-0.40245184,-0.08467932,0.08684108,-0.35266924,0.3513547,0.6743433,0.5329163,0.5437428,0.117344886,-0.25606483,0.7814982,-0.03148121
Valerie Pola,-0.26312494,-0.12736025,-0.025932476,-0.010876706,-0.016087754,-0.22965156,-0.14499736,-0.009979632,0.16323322,0.03521639,-0.049722333,0.25037044,-0.33250213,-0.18881916,0.35819465,0.0043684035
Sarah Gabriella Tumiwa,-0.38593027,-0.38308397,0.38842288,0.050094977,-0.33415145,-0.103924416,0.09535871,-0.32570603,0.30438438,0.5351489,0.4684016,0.44907013,0.107111536,-0.24566379,0.70306844,-0.06512164
Tiffany Regina,-0.42002535,-0.44409958,0.33667558,0.044697277,-0.3543469,-0.061412506,0.019866195,-0.27307108,0.35767728,0.6774282,0.49730325,0.60631,0.08192943,-0.18538621,0.7930455,-0.0046061086
Vili Su,-0.41508025,-0.42999595,0.4228659,0.044669002,-0.37390456,-0.09543131,0.0989224,-0.35083786,0.3372699,0.6154058,0.51469827,0.5066605,0.11494276,-0.26447636,0.76027685,-0.05683031
Claradevi,-0.38400587,-0.40024617,0.30098337,0.03954546,-0.29908672,-0.06950398,0.017298749,-0.23366712,0.3420426,0.6238496,0.4456532,0.5501502,0.045316722,-0.17078198,0.7395299,-0.0062234974
Yumi Kwandy,-0.43350464,-0.42751312,0.4289793,0.05805715,-0.36222067,-0.086121485,0.11311958,-0.36307532,0.35078365,0.63816416,0.51616126,0.5094087,0.08828806,-0.28454375,0.79642504,-0.059121337
Fadhilah Razak,-0.15801361,-0.08222187,-0.0066772746,-0.023322493,-0.017009417,-0.10344293,-0.03494963,-0.019425375,0.114619195,0.024447177,-0.041313987,0.12467943,-0.19584112,-0.10690417,0.18882607,0.011675359
Jessica Charis,-0.43802986,-0.41688082,0.42524278,0.061897777,-0.33871338,-0.077350564,0.12233397,-0.36079365,0.3607225,0.65412164,0.50544655,0.50111943,0.05352283,-0.29872906,0.81024307,-0.05836249
Evelyn Ramli,-0.3813942,-0.41168842,0.30949113,0.036467448,-0.32717687,-0.07697252,0.010492665,-0.23846424,0.33087948,0.5971845,0.45588195,0.55716664,0.08784604,-0.15621603,0.71787953,-0.0107233105
Aurel Oriana,-0.17182136,-0.11031387,-0.0320437,0.007943571,-0.026150709,-0.24205136,-0.24789236,0.029681267,0.053130385,0.05513115,-0.003026204,0.25169602,-0.259595,-0.15819484,0.31918496,0.0048725484
Angel Tamara,-0.44029963,-0.45757234,0.43382362,0.046223678,-0.3807225,-0.06959062,0.10971917,-0.3664911,0.37643307,0.7166465,0.5334973,0.5449985,0.0672779,-0.28985164,0.82612646,-0.03860003
Calista Cherrie,-0.78659135,-0.11961958,-0.18369159,-0.012662212,0.0884956,-0.3353659,-0.4108495,-0.07021267,0.19916418,0.098170415,0.2577371,0.52690434,-0.7040355,-0.6548108,0.83703065,-0.5152009
Shalfa Putri Raihan,-0.38762733,-0.36017966,0.37601435,0.05646032,-0.29097334,-0.08294552,0.11433207,-0.318302,0.31580994,0.55966145,0.4364326,0.42663103,0.041599926,-0.26155677,0.7170281,-0.05722864
Sarah Ayu,-0.4207487,-0.43176308,0.32776624,0.046010815,-0.32736525,-0.05587327,0.025623811,-0.26659,0.36654052,0.6956666,0.48622173,0.5970993,0.044459224,-0.19686976,0.8069436,-0.0028470403
