influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Eva Bande,0.9426960133491679,0.8585166808886405,0.7383421063423157,"de, la, su",0.8749532848596573,0.8809435566266378,0.9599704345067342,"the, and, to",0.9853010773658752,0.8543264468510946,0.0,"diskon, brand, promo"
Zahra Muzdalifah,0.7972614169120789,0.976939023010374,0.960525631904602,"chef, zahra, gozali",0.8199912773238288,0.9336291392644246,0.0,"the, and, to",0.9191573773111615,0.9680280685424805,0.0,"高仿包包, 时尚, 衣服"
Sarwendah,0.8649661938349406,0.9182752593533023,0.8978836238384247,"chef, zahra, gozali",0.7438417673110962,0.8253377437591553,0.9981704950332642,"diskon, brand, promo",0.9533044695854187,0.6223770976066589,0.9969313740730286,"the, and, to"
Cut Meyriska,0.8525427665029254,0.8659592668215433,0.9248736898104349,"yg, ga, aja",0.926132082939148,0.9919779300689697,0.0,"diskon, brand, promo",0.9915199875831604,0.6649113694826762,0.0,"the, and, to"
Danu Alqamara,0.0,0.0,0.0,"bernapas, rip, dewa",0.0,0.0,0.0,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0,"the, and, to"
Donna Harun,0.8851899121488843,0.9002101624553854,0.761821965376536,"gisella, anastasia, mulya",0.8654207478870045,0.8857800712188085,0.6635388493537903,"the, and, to",0.8342616111040115,0.8181668619314829,0.0,"diskon, brand, promo"
Rian Fahardhi,0.0,0.9985252618789673,0.0,"rian, fahardhi, tiktok",0.592696487903595,0.998781715120588,0.0,"diskon, brand, promo",0.0,0.994772473971049,0.5454991459846497,"the, and, to"
Nona Berlian Sakina,0.0,0.9931262731552124,0.0,"gisella, anastasia, mulya",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo"
Henjiwong,0.9735374368470291,0.7648074395126767,0.4926189109683037,"the, and, to",0.9377294097627912,0.0,0.8138890266418457,"yg, ga, aja",0.9035712139947074,0.9259678244590759,0.9642830133438111,"sibungbung, miawaug, jess"
Anakjajan,0.9465673491358757,0.3681838256972177,0.9836267828941345,"the, and, to",0.7874997903903326,0.9207063292463621,0.7506707906723022,"diskon, brand, promo",0.8551676571369171,0.1312340497970581,0.9079107046127319,"yg, ga, aja"
Kuliner Koko,0.9329400919377804,0.82724928855896,0.9559373706579208,"yg, ga, aja",0.9433254870501432,0.9472308357556661,0.9976087808609009,"diskon, brand, promo",0.8982439637184143,0.9056918223698934,0.9993950128555298,"dennysantoso, indonesia, tarikuang"
Susan Theresia,0.0,0.0,0.9581875205039978,"the, and, to",0.9689376950263977,0.0,0.0,"diskon, brand, promo",0.927995502948761,0.0,0.0,"sibungbung, miawaug, jess"
Agakenyang,0.9374688852067087,0.5481800409880552,0.9830344319343567,"fypシ, shopeehaul, fypviraltwitter",0.9107727663857597,0.0,0.9984939877803509,"yg, ga, aja",0.9931849837303162,0.0,0.9985835403203964,"mah, teu, kang"
Ayoe Widya,0.8251421018080278,0.9600130776445309,0.9907631675402323,"diskon, brand, promo",0.9682055115699768,0.9049561222394308,0.0,"yg, ga, aja",0.0,0.0,0.0,"the, and, to"
Syifa Hadju,0.9445692752346848,0.9181950558786807,0.9488057454427083,"yg, ga, aja",0.9841795563697815,0.9926839890805158,0.8363039493560791,"gisella, anastasia, mulya",0.9893701076507568,0.8667160272598267,0.9927181005477905,"the, and, to"
