,influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,influencer,topic-1_influencer_negative,topic0_influencer_negative,topic1_influencer_negative,topic2_influencer_negative,topic3_influencer_negative,topic4_influencer_negative,topic5_influencer_negative,topic6_influencer_negative,topic7_influencer_negative,topic8_influencer_negative,topic-1_influencer_neutral,topic0_influencer_neutral,topic1_influencer_neutral,topic2_influencer_neutral,topic3_influencer_neutral,topic4_influencer_neutral,topic5_influencer_neutral,topic6_influencer_neutral,topic7_influencer_neutral,topic8_influencer_neutral,topic-1_influencer_positive,topic0_influencer_positive,topic1_influencer_positive,topic2_influencer_positive,topic3_influencer_positive,topic4_influencer_positive,topic5_influencer_positive,topic6_influencer_positive,topic7_influencer_positive,topic8_influencer_positive
10,Natasha Wilona,-0.06261384,-0.0103976885,0.01675792,0.2510005,0.033868387,0.0044293785,-0.056902036,0.10311299,Natasha Wilona,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9474878174563249,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.9341125133875254,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539,0.8750686677726539
11,Ariel Noah,-0.07094307,-0.0030430276,0.019022861,0.2826635,0.033370815,0.008122382,-0.06372303,0.11959444,Ariel Noah,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9146335213742358,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.9177619098842918,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912,0.8439120609651912
12,Cinta Laura,-0.057294823,-0.009248387,0.015573477,0.22920577,0.030893145,0.00416124,-0.05175393,0.094261564,Cinta Laura,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9424031934430522,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.9481686076213574,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963,0.951028123497963
13,Felicya Angelista,-0.009133354,0.06293222,0.05432977,0.39466622,0.047663458,-0.0037247986,-0.18404609,0.2908795,Felicya Angelista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9612443211938249,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769,0.9542853360374769
14,Indra Bekti,-0.054586735,-0.009120708,0.0145592075,0.21892165,0.029547116,0.0038387664,-0.049673352,0.08991326,Indra Bekti,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.911989027634263,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.9152988634059127,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573,0.8740762662887573
15,Rizky Febian,-0.0670689,-0.008645922,0.020190021,0.26443544,0.035358988,0.0057573305,-0.058006946,0.10958775,Rizky Febian,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.9118401312828064,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.93384319130737,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129,0.9067835303999129
16,Tasya Kamila,-0.06341097,-0.011208388,0.016361492,0.2554004,0.034549803,0.004210036,-0.058427874,0.10466033,Tasya Kamila,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.8501506772111443,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.9438953537453887,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894,0.8935180681943894
17,Alexa Belvana,-0.059026845,-0.00988953,0.015719242,0.23677665,0.03196043,0.0041400623,-0.053745635,0.09723616,Alexa Belvana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Ayla Dimitri,-0.067547284,-0.008264769,0.0207321,0.26553535,0.035447836,0.005978399,-0.05789751,0.11021624,Ayla Dimitri,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9733126481374105,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9337674796581268,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171,0.9388972263710171
19,Valerie Pola,-0.057122618,-0.0102148205,0.014632927,0.23028223,0.031167077,0.0037445906,-0.052773044,0.09432216,Valerie Pola,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.952173936751581,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.8749180531927517,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349,0.863102295706349
