influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Trinity Traveler,0.903270201862983,0.899312870921912,0.891914427280426,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Valerie Pola,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Vidi Aldiano,0.9223557606791005,0.9320432854067419,0.890761479309627,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Vina Muliana,0.945608662052469,0.915957680879495,0.926027170543013,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Vincent Raditya,0.8422139212489128,0.9291795071433572,0.9494928002357483,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Vindy Lee,0.9010695394347695,0.9052565387317113,0.9281253599729694,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Wahyu Nayaka,0.9151223380314676,0.954317311445872,0.893607984570896,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
William Gozali,0.8980953919887543,0.9444485595351771,0.8675025385968825,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Windah Basudara,0.9170975970370429,0.8554595100636385,0.939588801584382,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Windy Ariestanty,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bernapas, dicari, dewa",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Wira Nagara,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bekti, indra, ssefmun",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Yasa Singgih,0.8388365577248966,0.9482352139428258,0.92385480205218,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Yuda Bustara,0.9186332143586258,0.9445205551304229,0.8630935363471508,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Yumi Kwandy,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Yusuf Mansur,0.8464970495551825,0.9351878220384772,0.893949918448925,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zahra Muzdalifah,0.890298233312719,0.9814530144204626,0.9176965892314911,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zohri Lalu,0.8973122879862785,0.943737320810835,0.9338886842131615,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
