instagram_account,bio,post_id,post_caption,comment,comment_likes
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","💚💚💚💚",8
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Baruu kmrn ngmngin betapa kagum nya sama beliau, eh hr ini ketemuu.. rejeki kmuu masyaa Allah ❤️",4
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Ya Allah @zaskiadyamecca dulu beliau sempat support materi buat beriman, dan waktu ke jogja aku juga ketemu beliau di warung gudeg sagan, dulu gudeg sagan baru buka belum seramei sekarang hehhe",3
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","❤️❤️❤️semoga jadi wasilah ilmu",14
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Masya Allah, Barakallahu fiikum ✨🙏",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Masya Allah tdi duduk depan saya❤️",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Bia, aku teman haji ust abduh. Kita 1 maktab juga dulu ketemu Bia waktu di mina",5
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Maa syaa allah Pingini buku seperti itu kak,belinya dimana?",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Bia, bukunya bisa didapat dimana ya?",3
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Ngaji yg buat pedoman Laptop / Kitab ? 😁",0
